GID,symbol,name,length,phenotype,function
YJR076C,CDC11,Cell Division Cycle,1248,"Essential gene; conditional mutant displays cell cycle arrest with severe cytokinesis defect, arresting with large, multibudded, multinucleate cells at elevated temperature; conditional mutant displays both altered budding pattern and highly elongated bud morphology at semi-permissive temperature; overexpression results in a decreased rate of vegetative growth, large, elongated, multibudded, cells with hyperpolarized buds; repressible mutant has increased inositol excretion phenotype; heterozygous null mutant displays increased thermotolerance in stationary phase
","GTP binding protein and subunit of the septin complex; localizes to the bud neck septin ring, and has a structural role required for cytokinesis; localizes to the prospore membrane and meiotic spindle and is required for sporulation; binds to both PI(4)P and PI(5)P"
YDL225W,SHS1,Seventh Homolog of Septin,1656,,"Septin, localized to the septin ring at the bud neck; recruits Bni5p and, via Bni5p, Myo1p to the bud neck to promote cytokinesis after budding"
YHR107C,CDC12,Cell Division Cycle,1224,,"Subunit of the septin complex with GTPase activity; localizes to the bud neck septin ring, and establishes a scaffold to support the assembly of a multiprotein complex which facilitates cytokinesis; localizes to the prospore membrane and meiotic spindle and is required for sporulation; binds to both PI(4)P and PI(5)P"
YLR314C,CDC3,Cell Division Cycle,1563,,"GTP binding protein and subunit of the septin complex; localizes to the bud neck septin ring, and has a structural role required for cytokinesis; localizes to the prospore membrane and meiotic spindle and is required for sporulation; binds to both PI(4)P and PI(5)P"
YNL138W-A,YSF3,Yeast Splicing Factor 3b subunit,380,,
YPR094W,RDS3,Regulator of Drug Sensitivity,324,,
YOR004W,UTP23,U Three-associated Protein,765,,
YGR090W,UTP22,U Three Protein,3714,"Essential gene; repression causes retention of tRNAs in the nucleus; in large-scale studies, heterozygous null mutant diploid displays chromosome instability and is haploinsufficient; repression confers resistance to myriocin and decreased competitive fitness
","Nucleolar protein component of the small subunit processome involved in rRNA processing and nuclear tRNA export; also a component of the UTP-C complex which forms a subcomplex of the 90S preribosome, and the CURI complex which is involved in the transcription of ribosomal genes"
YBL004W,UTP20,U Three Protein,7482,,
YLR007W,NSE1,Non-SMC Element,1011,,
YML023C,NSE5,Non-SMC Element 5,1671,,
YDR288W,NSE3,Non SMC Element,912,,
YHR083W,SAM35,Sorting and Assembly Machinery,990,,
YMR060C,SAM37,Sorting and Assembly Machinery,984,,
YNL026W,SAM50,Sorting and Assembly Machinery,1455,,
YJL030W,MAD2,Mitotic Arrest-Deficient,591,"Non-essential gene; null mutant has chromosome instability defect and shows sensitivity to benomyl, and reduced spore germination; homozygous null mutant diploid has abnormal meiosis and sporulation; in large scale studies null mutant shows reduced competitive fitness and decreased growth rate
",A subunit of the mitotic checkpoint complex; involved in  mitotic spindle assembly checkpoint and chromosome decondensation; localizes to the condensed nuclear kinetochore and nuclear pore
YGR145W,ENP2,Essential Nuclear Protein,2124,,
YDR299W,BFR2,BreFeldin A Resistance,1605,"Essential gene; repression causes defects in biogenesis of small ribosomal subunits, decreased nuclear export of 40S ribosomal subunits, increased accumulation of 35S pre-rRNA, and decreased levels of 18S and 20S rRNA species",
YHR148W,IMP3,Interacting with Mpp10p,552,,
YNL075W,IMP4,Interacting with Mpp10p,873,,
YJR002W,MPP10,M Phase Phosphoproteins,1782,,
YGR002C,SWC4,SWr Complex,1431,,
YIL009C-A,EST3,Ever Shorter Telomeres,547,,
YNL121C,TOM70,Translocase of the Outer Mitochondrial membrane,1854,"Non-essential gene; null mutant is petite-negative (loss of the mitochondrial genome is lethal), has a respiratory growth defect that is exacerbated at high temperature, and exhibits slow growth on fermentable carbon sources; null mutant shows increased replicative lifespan extension in response to caloric restriction, compared to wild type; in large-scale studies, null mutant has reduced competitive fitness in various media, decreased invasive growth, biofilm formation, and resistance to starvation and desiccation, and shows altered resistance to various chemicals
",
YPR133W-A,TOM5,Translocase of the Outer Mitochondrial membrane,153,,
YGR082W,TOM20,Translocase of the Outer Mitochondrial membrane,552,,
YMR203W,TOM40,Translocase of the Outer Mitochondrial membrane,1164,,
YNL070W,TOM7,Translocase of the Outer Mitochondrial membrane,183,,
YOR045W,TOM6,Translocase of the Outer Mitochondrial membrane,186,,
YNL131W,TOM22,Translocase of the Outer Mitochondrial membrane,459,,
YDL084W,SUB2,SUppressor of Brr1-1,1341,"Non-essential gene; null mutant grows extremely slowly and may be inviable in certain genetic backgrounds; null mutant in the W303 genetic background shows increased mitotic recombination and reduced mRNA levels; repression causes accumulation of unspliced U3 snoRNA precursor; in large-scale studies, diploid heterozygous null mutant and haploid conditional mutant display chromosome instability; overexpression causes arrest or delay in G1 phase
","Putative ATP-dependent RNA helicase; involved in messenger RNA (mRNA) splicing, export from nucleus, 3'-end processing; contributes to transcription-coupled nucleotide-excision repair and chromatin silencing at telomere; localizes to transcription export complex, spliceosomal complex and telomeric region of chromosome"
YJL129C,TRK1,TRansport of potassium (K),3708,,
YKR050W,TRK2,TRansport of potassium (K),2670,,
YLR298C,YHC1,Yeast Homolog of human U1C,696,,
YIR005W,IST3,Increased Sodium Tolerance,447,,
YEL048C,TCA17,TRAPP Complex Associated protein,459,,"Subunit of the TRAPPII complex, a multisubunit guanine nucleotide-exchange factor; involved in assembly of the TRAPPII complex and in early endosome to Golgi vesicle-mediated transport; localizes to the Golgi apparatus, and in high-throughput studies to the cytosol and clathrin-coated vesicles"
YDR240C,SNU56,Small NUclear ribonucleoprotein associated,1479,,
YPL213W,LEA1,Looks Exceptionally like U2A,717,,
YBR070C,ALG14,Asparagine Linked Glycosylation,714,"Essential gene; conditional mutants are sensitive to heat; reduced function mutants show increased competitive fitness, increased sensitivity to DNA-damaging agent methyl methanesulfonate (MMS) and to heat; repression increases chromosome rearrangements and chromosome loss
",An N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase that is a component of the UDP-N-acetylglucosamine transferase complex that is involved in the dolichol-linked oligosaccharide biosynthetic process; localizes to the intrinsic component of endoplasmic reticulum membrane
YOR367W,SCP1,S. cerevisiae CalPonin,603,,
YCR057C,PWP2,Periodic tryptophan (W) Protein,2772,,
YPL204W,HRR25,HO and Radiation Repair,1485,"Essential gene in S288C, non-essential in W303 and some other strain backgrounds; reduction-of-function mutations cause slow growth, abnormal cellular morphology, sensitivity to heat, X rays, killer toxins, caffeine, Calcofluor White and MMS, and increased production and excretion of inositol (Opi-); diploids are unable to sporulate
","Dual-specificity serine/threonine and tyrosine protein kinase that regulates various cellular processes including clathrin-mediated endocytosis, ER to Golgi vesicle-mediated transport, pexophagy, ribosome maturation, and the attachment of microtubules to kinetochores; subunit of monopolin complex; also localizes to different sites within the cell, including bud necks and tips, plasma membrane, Golgi, and spindle pole bodies"
YCL057C-A,MIC10,MItochondrial contact site and Cristae organizing system,294,,"Subunit of the mitochondrial MICOS complex, which is required for cristae formation; localizes to mitochondrial crista junction"
YLL042C,ATG10,AuTophaGy related,504,"Non-essential gene; null mutant shows no autophagy, mitophagy or pexophagy, increased sensitivity to nitrogen starvation and is unable to sporulate
",Atg12p transferase (transfers Atg12 from Atg12p-Atg7p conjugate to Atg10p); involved in macroautophagy and cytoplasm-to-vacuole targeting (CVT) pathways
YLR378C,SEC61,SECretory,1443,"Essential gene; reduction-of-function mutations confer slow growth and defects in intracellular protein traffic
",Subunit of the Sec61 translocon complex involved in the co-translational import of proteins into the endoplasmic reticulum (ER); also involved in retrograde protein transport and ER-associated protein degradation
YPL260W,CUB1,Cu2+ suppressing and Bleomycin sensitive,1656,,Protein whose biological role is unknown; localizes to the nucleus and cytoplasm in a large-scale study
YHR179W,OYE2,Old Yellow Enzyme,1203,,Mitochondrial NADPH dehydrogenase with a role in apoptosis
YPR048W,TAH18,Top1T722A mutant Hypersensitive,1872,"Essential gene; ts alleles confer resistance to hydrogen peroxide, while overexpression confers sensitivity; in large-scale studies, repression confers increased competitive fitness and reduced incorporation of Fe-S clusters into enzymes
",Mitochondrial oxidoreductase involved in the formation of nitrogen monoxide and the incorporation of iron and exogenous sulfur into metallo-sulfur clusters
YJR074W,MOG1,Multicopy suppressor Of ts Gsp1,657,"Non-essential gene; null mutant displays slow growth, sensitivity to nickel, cadmium, caffeine, hygromycin B, SDS and caspofungin; overexpression results in reduced telomeric silencing
",Protein that selectively binds Ran GTPase and is involved in protein import into the nucleus; localizes to nucleus
YER063W,THO1,suppressor of the Transcriptional defect of Hpr1 by Overexpression,657,,
YPL096W,PNG1,Peptide N-Glycanase,1092,,Peptide N-glycanase involved in protein deglycosylation during ER-associated ubiquitin-dependent protein catabolism; localizes to the nucleus and cytosol
YDL236W,PHO13,PHOsphate metabolism,939,,
YPL149W,ATG5,AuTophaGy related,885,"Non-essential gene; reduction of function mutant is defective for autophagy and the CVT pathway; null mutant is unable to undergo both late nucleophagy and pexophagy, and displays reduced mitophagy and micronucleophagy; null mutant displays decreased viability during nitrogen starvation and abnormal nuclear morphology; null mutant displays a reduction in in the C-terminal modification of Atg8p and its localization to the pre-autophagosomal structure; null mutant has a reduction in chronological lifespan, and decreased resistance to desiccation and zinc treatment; homozygous diploid null mutant has a severe respiratory growth defect and is unable to sporulate; heterozygous diploid null is haploinsufficient
","Contributes to Atg8 ligase activity (conjugates Atg8p to phosphatidylethanolamine, PE); subunit of the Atg12-Atg5-Atg16 complex; involved in macroautophagy, cytoplasm-to-vacuole targeting (CVT) pathway, late nucleophagy, piecemeal microautophagy of nucleus, protein lipidation and mitochondrion degradation; localizes to the pre-autophagosomal structure (PAS)"
YLR114C,AVL9,Apl2 Vps1 Lethal,2295,"Non-essential gene; null mutant has a small cell size, is heat sensitive, displays decreased vegetative growth rate and decreased competitive fitness; null mutant has a defect in the late secretory pathway; null mutant has a decrease in chronological lifespan, decreased desiccation resistance and decreased ability to form biofilms; overexpression results in a decreased rate of vegetative growth",
YPL135W,ISU1,IScU homolog,498,"Non-essential gene; null mutant displays sensitivity to H2O2 and FeSO4, decreased respiratory growth, increased mitochondrial iron accumulation, and decreased aconitase activity; in large-scale studies, null mutant exhibits increased competitive fitness in a variety of media and increased resistance to acetic acid; heterozygous null mutant is sensitive to fluconazole
",Iron-binding protein of the mitochondrial matrix in iron-sulfur cluster assembly and post-transcriptional modification of wobble uridines in tRNAs
YLR340W,RPP0,Ribosomal Protein P0,939,"Essential gene in S288C; repression causes slow growth and accumulation of free 60S ribosomal subunits; in Sigma1278b null mutation causes decreased filamentous growth and absence of invasive growth
",Large ribosomal subunit rRNA-binding constituent of the cytosolic large ribosomal subunit; involved in assembly of the large ribosomal subunit and translation
YFR005C,SAD1,SnRNP Assembly Defective,1347,,
YMR049C,ERB1,Eukaryotic Ribosome Biogenesis,2424,,Subunit of the PeBoW complex and the preribosomal complex; binds to the large ribosomal subunit rRNA and is involved in the processing of the rRNA and the biogenesis of the large ribosomal subunit
YPR016C,TIF6,Translation Initiation Factor,738,"Essential gene; repression causes cell cycle arrest in G1; in large-scale studies, mutation decreases filamentous and invasive growth; repression reduces competitive fitness and confers resistance to cycloheximide; diploid heterozygous null mutant is sensitive to heat and verrucarin A, displays smaller cell size, and is haploinsufficient
","Protein that binds ribosomal large subunit and is involved in biogenesis and maturation of LSU-ribosomal RNA (rRNA) and 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); contributes to ribosomal subunit export from nucleus"
YER002W,NOP16,NucleOlar Protein,696,,
YGL111W,NSA1,Nop Seven Associated,1392,,
YNL110C,NOP15,NucleOlar Protein,663,,Subunit of the preribosmal complex (large subunit precursor) that binds rRNA; is involved in the maturation of the large subunit rRNA (LSU-rRNA) and biogenesis of the ribosomal large subunit
YDR060W,MAK21,MAintenance of Killer,3078,"Essential gene in S288C; repression causes reduced levels of mature rRNAs and overexpression causes slow growth; non-essential gene in Sigma1278b, null mutant shows increased filamentous growth but no invasive growth
",Noc1p-Noc2p complex subunit involved in ribosomal large subunit assembly; localizes to 66S preribosome
YHR066W,SSF1,Suppressor of ste4 (Four),1362,,
YKR065C,PAM17,Presequence translocase-Associated Motor,594,,
YBR092C,PHO3,PHOsphate metabolism,1404,,
YIL053W,GPP1,Glycerol-3-Phosphate Phosphatase,753,,Glycerol-1-phosphatase involved in the biosynthesis of glycerol and the response to osmotic stress; localizes to the cytoplasm
YGL054C,ERV14,ER Vesicle,417,,
YPL085W,SEC16,SECretory,6588,,
YOR031W,CRS5,Copper-Resistant Suppressor,210,,
YBR037C,SCO1,Suppressor of Cytochrome Oxidase deficiency,888,"Non-essential gene; null mutant and sco1-C148A mutant with defective copper binding site are unable to utilize nonfermentable carbon sources; null mutant is sensitive to oxidative stress but sco1-C148A mutant is not; in large-scale studies, null mutant shows lower competitive fitness in several different media, smaller cell size, shorter chronological lifespan, and sensitivity to desiccation and hyperosmotic stress; diploid homozygous null mutant accumulates reduced levels of glycogen and excretes higher levels of glutathione; null mutant has altered resistance to a variety of chemicals
",Putative thioredoxin peroxidase involved in protein complex assembly and copper ion transport; likely involved in response to redox state; localizes to mitochondrial inner membrane
YKL137W,CMC1,Cx9C Mitochondrial protein necessary for full assembly of Cytochrome c oxidase,336,"Non-essential gene; null mutation decreases cytochrome c oxidase activity and respiratory growth rate; in systematic studies null mutants show reduced competitive fitness, abnormal levels of polyphosphate and increased sensitivity to sphingolipid-depleting drug myriocin",
YGL166W,CUP2,,678,"Non-essential gene; null mutation confers sensitivity to copper ions; in systematic studies, overexpression is lethal, whereas null mutation lowers competitive fitness",Transcription factor that binds in a sequence-specific manner to DNA proximal to the RNA polymerase II core promoter; activates transcription of target genes in response to copper; localizes to the nucleus
YMR038C,CCS1,Copper Chaperone for SOD1,750,"Non-essential gene; null mutant requires methionine, displays a respiratory growth defect and increased mutation frequency, is sensitive to alkaline pH, and is sensitive to paraquat and tunicamycin under aerobic but not anaerobic conditions; in large-scale studies the null mutant shows decreased competitive fitness, sensitivity to oxidative stress, and altered resistance to a variety of chemicals
","Copper chaperone that delivers copper to superoxide dismutase; involved in intracellular copper transport; localized to nucleus, cytosol, mitochondrial intermembrane space"
YLL009C,COX17,Cytochrome c OXidase,210,"Non-essential gene; null mutant fails to respire and is sensitive to tin and to alkaline pH; overexpression confers increased resistance to clozapine; in large-scale studies, the null mutant shows reduced competitive fitness and sensitivity to desiccation, heat, oxidative stress, and various chemicals; overexpression confers increased filamentous growth
",Copper chaperone that delivers copper to respiratory chain complex IV (cytochrome c oxidase); required for the assembly of cytochrome c oxidase complex and for aerobic respiration; localized to cytosol and mitochondrial intermembrane space
YMR021C,MAC1,Metal binding ACtivator,1254,,
YDR044W,HEM13,HEMe biosynthesis,987,"Essential gene on standard rich medium due to heme auxotrophy; mutant fails to respire; in large-scale study, repressing expression confers increased competitive fitness
",Coproporphyrinogen oxidase involved in the biosynthesis of heme; catalyzes oxidation of coproporphyrinogen III to protoporphyrinogen IX; localizes to the cytosol
YPL210C,SRP72,Signal Recognition Particle,1923,,
YPL243W,SRP68,Signal Recognition Particle,1800,,
YDR472W,TRS31,TRapp Subunit,852,,"Subunit of multiple TRAPP complexes (TRAPPI, TRAPPII, and TRAPPIII); contributes to Rab family guanyl-nucleotide exchange factor activity; involved in ER-Golgi vesicle-mediated transport; localizes to the cytosol in high-throughput studies"
YDR246W,TRS23,TRapp Subunit,660,,"Subunit of multiple TRAPP complexes; contributes to Rab family guanyl-nucleotide exchange factor activity; involved in ER-Golgi vesicle-mediated transport; subunit of the TRAPPI, TRAPPII and TRAPPIII complexes"
YML077W,BET5,Blocked Early in Transport,480,"Essential gene; conditional mutants are subject to chromosome instability, have dilated ER, accumulate vesicles, and are impaired in protein transport and secretion at elevated temperatures; heterozygous diploid nulls are haploinsufficient, sensitive to starvation, and to the dopaminergic antagonist chlorpromazine
","Subunit of multiple TRAPP complexes (TRAPPI, TRAPPII, and TRAPPIII); contributes to Rab family guanyl-nucleotide exchange factor activity; involved in ER-Golgi vesicle-mediated transport"
YKR068C,BET3,Blocked Early in Transport,582,"Essential gene; conditional (ts) mutations lead to defects in protein transport and abnormalities in morphology of ER membranes and secretory vesicles
","Subunit of multiple TRAPP complexes (TRAPPI, TRAPPII, and TRAPPIII); contributes to Rab family guanyl-nucleotide exchange factor activity; involved in ER-Golgi, and intra-Golgi vesicle-mediated transport; localizes to the cis-Golgi network"
YBR254C,TRS20,TRapp Subunit,528,"Essential gene; ts mutants show abnormal endocytosis and sensitivity to Calcofluor White; diploid homozygous trs20-1 and trs20-6 mutants fail to sporulate; in large-scale studies, repression causes lower competitive fitness, longer telomeres, and abnormal mitochondrial morphology; diploid heterozygous null mutant is sensitive to chlorpromazine and nigericin
","Subunit of the TRAPPI, TRAPPII, and TRAPPIII complexes that function in ER to Golgi vesicular transport, endosome-to-Golgi traffic, and trafficking of autophagy proteins from the Golgi to pre-autophagosomal structures"
YOR115C,TRS33,TRapp Subunit,807,,"Subunit of multiple TRAPP complexes that function as Rab family guanine nucleotide-exchange factors; subunit of TRAPPI, involved in ER-Golgi vesicle-mediated transport, TRAPPII, involved in intra-Golgi and endosome-Golgi traffic and TRAPPIII, involved in endosome-Golgi traffic and autophagy; positive regulator of macroautophagy; involved in the assembly and localization of TRAPP complexes; localizes to the cis- and trans-Golgi networks and the pre-autophagosomal structure"
YER029C,SMB1,SmB/B' homolog,591,,
YGR074W,SMD1,snRNA Sm binding site protein D1,441,"Essential gene; conditional mutant displays heat- and cold-sensitivity; in large-scale studies, repression confers decreased competitive fitness, and the diploid heterozygous null mutant is haploproficient
","A subunit of the commitment complex that binds mRNA and is involved in mRNA splicing, via the splicesome"
YLR275W,SMD2,,423,"Essential gene; in large-scale studies, the diploid heterozygous null mutant shows decreased competitive fitness and haploinsufficiency
",A subunit of a U2-type presliceosome complex; involved in mRNA splicing
YLR147C,SMD3,,306,,"A subunit of the commitment and U2-type presliceosome complexes that binds mRNA; involved in mRNA splicing, via the splicesome"
YOR159C,SME1,Sm protein E,285,"Essential gene; in large-scale studies, repression confers decreased competitive fitness and sensitivity to benomyl
","Protein involved in messenger RNA (mRNA) splicing that associates with U1 small nuclear RNP (snRNP), U5 snRNP, and U4/U6 x U5 tri-snRNP complex"
YPR182W,SMX3,,261,"Essential gene; in a large-scale study, diploid heterozygous null mutant is haploproficient
",Protein subunit of the spliceosome Sm core complex that binds messenger RNA (mRNA) and other splicing factors; involved in messenger RNA (mRNA) splicing
YFL017W-A,SMX2,,234,,
YJL076W,NET1,Nucleolar silencing Establishing factor and Telophase regulator,3570,,
YBL045C,COR1,CORe protein of QH2 cytochrome c reductase,1374,Non-essential gene; null mutant is incapable of respiratory growth on nonfermentable carbon sources; in systematic studies mutants show decreased competitive fitness under various conditions and decreased ability to utilize alternative carbon and nitrogen sources,Component of the mitochondrial inner membrane ubiquinol-cytochrome c reductase complex (Complex III) that is essential for activity of the complex during cellular respiration.
YLR429W,CRN1,CoRoNin,1956,"Non-essential gene; null mutation results in abnormal spindle morphology, decreased endocytosis and increased sensitivity to benomyl; in systematic studies mutants are sensitive to tunicamycin, fenpropimorph and nickel ions, but resistant to hydroxyurea and bleomycin",Component of cortical actin cytoskeleton that regulates actin nucleation mediated by the Arp2/3 complex; colocalizes with the Arp2/3 complex within the actin cytoskeleton
YLR242C,ARV1,ARE2 Required for Viability,966,"Non-essential gene; null mutant shows abnormal ER and vacuolar morphology, defects in endocytosis and abnormal distribution of sterols and ceramides; in large-scale studies null mutant shows decreased competitive fitness
",Protein whose molecular function is unknown; implicated in GPI anchor biosynthesis and transport; also involved in intracellular sterol and sphingolipid transport; localized to the endoplasmic reticulum
YML072C,TCB3,Three Calcium and lipid Binding domains (TriCalBins),4638,,
YBR086C,IST2,Increased Sodium Tolerance,2841,,
YBR162C,TOS1,Target Of Sbf,1368,,Protein whose biological role is unknown; localizes to the cell wall; localized to the vacuole in a large-scale study
YLR390W-A,CCW14,Covalently linked Cell Wall protein,717,"Non-essential gene; both null mutation and overexpression confer increased sensitivity to cell wall-affecting chemicals (Congo Red, Calcofluor White); in systematic studies null mutants show decreased biofilm formation and shortened telomeres",
YOR302W,,,78,,
YDL132W,CDC53,Cell Division Cycle,2448,"Essential gene; reduced function increases competitive fitness; conditional mutants are sensitive to microtubule-destabilizing agent benomyl at permissive temperature, arrest in G1 with a single nucleus, multiple elongated buds, and spindle pole bodies that fail to separate at elevated temperatures; overexpression slows growth, disrupts cellular morphology; repression disrupts mitochondrial morphology
",Subunit of Skp1/Cul1/F-box (SCF) complexes; acts as a bridging factor which contributes to proteasomal-dependent ubiquitin protein ligase activity involved in protein catabolism; required for both the G1/S and G2/M phase transitions of the mitotic cell cycle; binds to replications origins
YFL061W,DDI2,DNA Damage Inducible,678,,Cyanamide hydratase involved in detoxification of cyanamide
YGR247W,CPD1,Cyclic nucleotide PhosphoDiesterase,720,Non-essential gene; null mutation decreases resistance to cytotoxic drug cordycepin under competitive growth conditions; in systematic studies null mutants display abnormal amino acid accumulation and decreased formation of biofilms in strain Sigma1278b,"Cyclic nucleotide phosphodiesterase that hydrolyzes nucleoside 2',3' cyclic phosphodiester bond to yield nucleoside 2'-phosphate; localizes to the Golgi apparatus"
YDL179W,PCL9,Pho85 CycLin,915,,Component of the cyclin-dependent protein kinase holoenzyme complex; regulator of the Pho85p kinase; involved in regulation of transcription during G1/S transition of mitotic cell cycle and establishment or maintenance of cell polarity; localizes to the bud neck and incipient bud site
YHR071W,PCL5,Pho85 CycLin,690,,
YOL001W,PHO80,PHOsphate metabolism,882,,
YPR025C,CCL1,,1182,"Essential gene; base-substitution mutants are resistant to cycloheximide; reduced function mutants show increased competitive fitness; heterozygous diploid nulls are haploinsufficient and sensitive to lactoferricin, which is an amphipathic, cationic peptide with antimicrobial and anticancer properties
",Cyclin that acts as regulator of a protein kinase component of the transcription factor holo TFIIH complex; stimulates phosphorylation of RNA polymerase II C-terminal domain and positively regulates transcription by Polymerase II; localized to the nucleus
YPR161C,SGV1,Suppressor of Gpa1-Val50 mutation,1974,,
YPL031C,PHO85,PHOsphate metabolism,1020,"Non-essential gene; null mutant has abnormal morphology, increased rate of mitotic chromosome loss, increased chronological lifespan, and sensitivity to a variety of chemicals; in large-scale studies, null mutant has reduced competitive fitness in a variety of different media, slow growth rate, shortened telomeres, reduced endocytosis, and sensitivity to many different chemicals
","Cyclin-dependent protein serine/threonine kinase involved in regulation of phosphate and glycogen metabolism, cell cycle progression, establishment of cell polarity, autophagy, response to DNA damage, and calcium-mediated signaling; localized to the nucleus"
YBR160W,CDC28,Cell Division Cycle,897,"Essential gene; conditional mutants display allele specific cell cycle arrest as either large, unbudded, conjugation-competent cells with a single, undivided nucleus and pear-shaped morphology at START in the G1 phase or as abnormally large, elongated cells with undivided nuclei at the G2/M phase transition; reduction-of-function mutant has a decreased rate of growth and buds in a bipolar or unipolar manner; conditional mutants are benomyl sensitive, have an elevated rate of plasmid and chromosome loss, and accumulate trigylcerides; homozygous diploid mutants have a sporulation defect
","Protein serine/threonine kinase subunit of multiple cyclin-dependent kinase (CDK) complexes, which regulate the mitotic and meiotic cell cycles as well as many other cellular processes; CDK complexes function at various locations throughout the cell"
YGR233C,PHO81,PHOsphate metabolism,3537,,
YLR079W,SIC1,Substrate/Subunit Inhibitor of Cyclin-dependent protein kinase,855,"Non-essential gene; null mutant displays a decreased growth rate, a reduced duration of the G1 phase of the cell cycle, is thermosensitive, and has impaired anaerobic growth during anoxia; null mutant has elevated levels of chromosome loss, and overall chromosomal instability; null mutant also displays a shorter chronological lifespan, accumulates superoxide, and is defective for entry into stationary phase; homozygous diploid null mutant has a sporulation defect, and reduced innate thermotolerance; overexpression enhances invasive growth
","An inhibitor of cyclin-dependent kinases (CDK), specifically serine/threonine CDKs; active during the G1/S transition of the mitotic cell cycle; negative regulator of macroautophagy; localizes to both the nucleus and the cytoplasm"
YBR135W,CKS1,Cdc28 Kinase Subunit,453,"Non-essential gene; originally thought to be essential because the null mutant is extremely slow-growing; null mutant is sensitive to heat, cold, hydroxyurea, and ionic stress, and requires myo-inositol for growth; in large-scale studies repressible or conditional mutants display chromosome instability and increased DNA damage
",Regulatory subunit of cyclin-dependent protein kinase holoenzyme complex; acts as activator kinase activity in regulation of mitotic cell cycle; positively regulates transcription by RNA Polymerase II; localized to nucleus and cytoplasm in high throughput studies
YLR226W,BUR2,Bypass UAS Requirement,1188,"Non-essential gene; null mutant shows elevated frequency of gross chromosomal rearrangements, decreased levels and reduced phosphorylation of RNA Polymerase II, and inositol auxotrophy; overexpression causes increased frequency of chromosome loss and sensitivity to benomyl; in systematic studies null mutants display reduced growth rate, enlarged cells, decreased competitive fitness, and sensitivity to multiple factors, such as heat, killer toxins, caffeine, hygromycin B, DTT, MMS",
YGL215W,CLG1,Cyclin-Like Gene,1359,"Non-essential gene; null mutant under competitive growth conditions shows decreased fitness, shortened chronological lifespan and increased sensitivity to antileukemic drug cordycepin; homozygous diploids have lower sporulation efficiency and higher innate thermotolerance",
YHL027W,RIM101,Regulator of IME2,1878,"Non-essential gene; null mutants have abnormal vacuolar morphology, are impaired in respiration, endocytosis, sporulation, filamentous growth, and biofilm formation; nulls are also sensitive to various toxins, antibiotics, and acid pH, and are resistant to metals; conditional mutants are sensitive to cold; overexpression increases resistance to TOR inhibitor rapamycin
","Sequence-specific DNA binding transcription factor that regulates transcription by RNA polymerase II involved in meiosis, spore formation, cell wall biosynthesis, and the cellular responses to anoxia and alkaline pH"
YFR044C,DUG1,Deficient in Utilization of Glutathione,1446,"Non-essential gene; null mutant is unable to utilize glutathione as a source of sulfur; overexpression increases resistance to rapamycin (sirolimus); in large-scale studies null mutant shows decreased competitive fitness and increased chronological lifespan
",Omega peptidase and metallodipeptidase; involved in glutathione degradation; localizes to cytoplasm and to mitochondrion and ribosome in high-throughput studies
YGR155W,CYS4,CYStathionine beta-synthase,1524,"Non-essential gene; null mutant is auxotrophic for cysteine, grows slowly, shows decreased accumulation of glutathione and sensitivity to oxidative stress and metals (zinc, cobalt, manganese, cadmium); null mutant also shows decreased rate of respiratory growth; overexpression leads to decreased cell size and increased growth rate
","Cystathionine beta-synthase involved in transsulfuration, cysteine biosynthesis, and generation of hydrogen sulfide; also implicated in traversing start control point of mitotic cell cycle; localizes to the cytoplasm"
YAL012W,CYS3,CYStathionine gamma-lyase,1185,"Non-essential gene; null mutant is cysteine auxotroph and shows slow growth in exponential phase; in Sigma1278b strain background, null mutant is incapable of invasive growth; in systematic studies, mutants are sensitive to arsenite, selenide, DMSO, and resistant to selenomethionine and myriocin",Cystathionine gamma-lyase involved in transsulfuration and cysteine biosynthesis; localizes to both the nucleus and cytoplasm
YJR130C,STR2,Sulfur TRansfer,1920,,
YNL239W,LAP3,Leucine AminoPeptidases,1365,,
YCL017C,NFS1,NiFS-like,1494,,
YER048W-A,ISD11,"Iron-Sulfur protein biogenesis, Desulfurase-interacting protein",285,,
YNL247W,,,2304,"Essential gene; conditional mutant displays increased desiccation resistance; in large-scale studies, heterozygous null diploid is haploproficient but shows reduced starvation resistance; repression causes decreased competitive fitness and sensitivity to MMS
",Cysteinyl-tRNA synthetase that performs cysteinyl-tRNA aminoacylation by coupling cysteine to cysteinyl-tRNA; localizes to the cytoplasm and colocalizes with ribosomes
Q0105,COB,CytochrOme B,7108,"Non-essential gene; loss of function blocks electron transport chain in mitochondria, eliminates aerobic growth (on respiratory, nonfermentable carbon sources) and causes slow growth on fermentable carbon sources (petite phenotype)",A ubiquinol-cytochrome-c reductase that transfers electrons from ubiquinol to cytochrome c during aerobic respiration; a subunit of the mitochondrial respiratory chain complex III
YNL111C,CYB5,CYtochrome B,363,"Non-essential gene; under competitive growth conditions, mutants show decreased competitive fitness, increased chronological lifespan and elevated sensitivity to cordycepin; in systematic studies mutants are sensitive to rapamycin and wortmannin, and resistant to myriocin and ethanol",
YIL043C,CBR1,Cytochrome b Reductase,855,"Non-essential gene; in systematic studies null mutants show reduced competitive fitness; in homozygous diploids, null mutation leads to elevated glycogen accumulation and increased resistance to MMS ",
